Nom_Table	Nom_Champ	Densite_utilisation	Type_donnee	Longueur_Champ	Precision_Champ	NULLABLE	Nbr_Null	Nbr_Valeurs_Distinctes	Valeur_Minimum	Valeur_Maximale
TA_DOSSIER_GPS	DOS_ID	0,001265823	NUMBER	22	38	N	0	790	C20320	C2321D
TA_DOSSIER_GPS	DOSSIER	0,001265823	VARCHAR2	255		Y	0	790	3,03233E+13	77696C6C656D73
TA_DOSSIER_GPS	GEOM		SDO_GEOMETRY	1		Y				
TA_GG_APP_ADM_RIGHTS	GROUPE_DYNMAP	0,333333333	NUMBER	22	38	Y	0	3	C2030A	C2030C
TA_GG_APP_ADM_RIGHTS	PROFIL	0,333333333	NUMBER	22	38	Y	0	3	80	C103
TA_GG_APP_ADM_RIGHTS	LABEL	0,333333333	VARCHAR2	20		Y	0	3	41646D696E697374726174657572	47657374696F6E6E61697265
TA_GG_DOC	DOC_ID	0	NUMBER	22		N	0	0		
TA_GG_DOC	ID_DOS	0	NUMBER	22		Y	0	0		
TA_GG_DOC	FOR_ID	0	NUMBER	22		N	0	0		
TA_GG_DOC	DOC_NM	0	VARCHAR2	100		N	0	0		
TA_GG_DOC	DOC_REP	0	VARCHAR2	100		N	0	0		
TA_GG_DOSSIER	ID_DOS	0,00017334	NUMBER	22		N	0	5769	C20B	C3053050
TA_GG_DOSSIER	SRC_ID	8,66701E-05	NUMBER	22		N	0	24	C22C0A	C30A0206
TA_GG_DOSSIER	ETAT_ID	8,66701E-05	NUMBER	22		N	0	7	80	C10A
TA_GG_DOSSIER	USER_ID	0,032258065	NUMBER	22		N	0	31	C23628	C364474C
TA_GG_DOSSIER	FAM_ID	8,66701E-05	NUMBER	22		Y	0	3	C102	C104
TA_GG_DOSSIER	DOS_DC	0,001416431	DATE	7		N	0	706	787405110B3A2B	78780B17010101
TA_GG_DOSSIER	DOS_PRECISION	0,001371742	VARCHAR2	100		Y	2731	729	20	72E9616C6973E92039313030206D32
TA_GG_DOSSIER	DOS_DMAJ	0,001663894	DATE	7		Y	2184	601	7874051A010101	78780B17010101
TA_GG_DOSSIER	DOS_RQ	0,000294638	VARCHAR2	2048		Y	1588	3394	0D0A506C616E6368652041595C6E2064652041564520204C41454E4E454320E0	E96C617267697373656D656E74206465206C6120766F6972696520706F757220
TA_GG_DOSSIER	DOS_DT_FIN	0,001098901	DATE	7		Y	1645	910	786E040E010101	78780B17010101
TA_GG_DOSSIER	DOS_PRIORITE	0,333333333	NUMBER	22	1	N	0	3	80	C103
TA_GG_DOSSIER	DOS_IDPERE	0,015151515	NUMBER	22		Y	5697	66	C21C64	C3052112
TA_GG_DOSSIER	DOS_DT_DEB_TR	0,000527983	DATE	7		Y	1273	1894	6478030C010101	78780B17010101
TA_GG_DOSSIER	DOS_DT_FIN_TR	0,000628536	DATE	7		Y	2188	1591	64710A11010101	78780B1E010101
TA_GG_DOSSIER	DOS_DT_CMD_SAI	0,002087683	DATE	7		Y	4243	479	6472051B010101	78780B14010101
TA_GG_DOSSIER	DOS_INSEE	0,010309278	NUMBER	22	5	Y	0	97	C3065B06	C3066147
TA_GG_DOSSIER	DOS_VOIE	0,000267666	NUMBER	22	8	Y	69	3736	C306011D	C407475B18
TA_GG_DOSSIER	DOS_MAO	0,052631579	VARCHAR2	200		Y	0	19	42545052	562E522E4C20564F495249452045542052455345415558204C494C4C4F4953
TA_GG_DOSSIER	DOS_ENTR	0,013513514	VARCHAR2	200		Y	1633	74	20	56524C
TA_GG_DOSSIER	DOS_URL_FILE	0,000349528	VARCHAR2	200		Y	2908	2861	3138303531303139355F35393035315F7275655F6C61656E6E65635F696D7061	5245434F4C2F39353939303431355F35393539395F7275655F64755F636F6D6D
TA_GG_DOSSIER	ORDER_ID	0,000361402	NUMBER	22	10	Y	3002	2767	C2215F	C30B553D
TA_GG_DOSSIER	DOS_NUM	0,000173461	NUMBER	22		Y	4	5765	C440380347	C50307360207
TA_GG_DOSSIER	DOS_NUM_SHORT	0,000914077	NUMBER	22	4	Y	4	1094	C102	C20C0C
TA_GG_DOSSIER	DOS_OLD_ID	0,000424989	VARCHAR2	8		Y	3416	2353	3,03634E+13	3,93931E+11
TA_GG_DOSSIER	DOS_DT_DEB_LEVE	0,003003003	DATE	7		Y	4990	333	786F0606010101	796A0813010101
TA_GG_DOSSIER	DOS_DT_FIN_LEVE	0,001557632	DATE	7		Y	3971	642	786E0A1D010101	78780B17010101
TA_GG_DOSSIER	DOS_DT_PREV	0,002320186	DATE	7		Y	4395	431	7,87405E+13	78780B17010101
TA_GG_DOSSIER	DOS_DT_CTRL_PRECISION	0	DATE	7		Y	5769	0		
TA_GG_DOSSIER	DOS_CTRL_PRECISION	0	NUMBER	22	4	Y	5769	0		
TA_GG_ETAT	ETAT_ID	0,111111111	NUMBER	22		N	0	9	80	C10A
TA_GG_ETAT	ETAT_LIB	0,111111111	VARCHAR2	100		N	0	9	416374696620656E20626173652028646F737369657220636CF4747572E92065	52656A6574E9202D20456E20617474656E74652064652072656368617267656D
TA_GG_ETAT	ETAT_AFF	0,111111111	NUMBER	22	1	Y	0	9	C102	C10A
TA_GG_ETAT	ETAT_LIB_SMALL	0,111111111	VARCHAR2	50		Y	0	9	416374696620656E2062617365	496E76616C696465
TA_GG_ETAT	ETAT_STYLE	0,111111111	CHAR	6		Y	0	9	3,23046E+11	6,66638E+11
TA_GG_ETAT	ETAT_COULEUR	0,111111111	VARCHAR2	7		Y	0	9	2,3323E+13	2,36666E+13
TA_GG_ETAT	ETAT_SMALL	0,111111111	VARCHAR2	25		Y	0	9	4163746966202F20436CF4747572E9	52656A6574202F204120726563686172676572
TA_GG_EXTERIEUR	USER_ID	0	NUMBER	22		N	0	0		
TA_GG_EXTERIEUR	EXT_NOM	0	VARCHAR2	200		N	0	0		
TA_GG_EXTERIEUR	EXT_DT_FIN_VAL2	0	DATE	7		N	0	0		
TA_GG_EXTERIEUR	EXT_EMAIL	0	VARCHAR2	200		N	0	0		
TA_GG_EXTERIEUR	EXT_LOGIN	0	VARCHAR2	100		N	0	0		
TA_GG_EXTERIEUR	EXT_PWD	0	VARCHAR2	2048		N	0	0		
TA_GG_EXTERIEUR	EXT_DT_CONS	0	DATE	7		Y	0	0		
TA_GG_FAMILLE	FAM_ID	0,333333333	NUMBER	22		N	0	3	C102	C104
TA_GG_FAMILLE	FAM_LIB	0,333333333	VARCHAR2	100		N	0	3	496E7665737469676174696F6E20436F6D706CE96D656E7461697265	506C616E2064652072E9636F6C656D656E74
TA_GG_FAMILLE	FAM_VAL	1	NUMBER	22		N	0	1	C102	C102
TA_GG_FAMILLE	FAM_LIB_SMALL	0,333333333	VARCHAR2	2		Y	0	3	4943	5052
TA_GG_FILES	OBJECTID	0,000274198	NUMBER	22	38	N	0	3647	C102	C22530
TA_GG_FILES	DOS_NUM	0,000450653	NUMBER	22	9	Y	0	2219	C502010A0420	C502613D020A
TA_GG_FILES	LIEN	0,000274198	VARCHAR2	2000		Y	0	3647	68747470733A2F2F67656F66696C65732E6C696C6C656D6574726F706F6C652E	68747470733A2F2F67656F66696C65732E6C696C6C656D6574726F706F6C652E
TA_GG_FORMAT	FOR_ID	1	NUMBER	22		N	0	1	C102	C102
TA_GG_FORMAT	FOR_LIB	1	VARCHAR2	100		N	0	1	5368617065	5368617065
TA_GG_FORMAT	FOR_VAL	1	NUMBER	22		N	0	1	C102	C102
TA_GG_GEO	CLASSE_DICT	0,333333333	VARCHAR2	1		Y	2844	3	61	63
TA_GG_GEO	GEOM		SDO_GEOMETRY	1		Y				
TA_GG_GEO	ETAT_ID	0,2	NUMBER	22	1	Y	1	5	80	C10A
TA_GG_GEO	DOS_NUM	0,000185908	NUMBER	22	10	Y	0	5379	C440380347	C50307360207
TA_GG_GEO	ID_GEOM	0,000123122	NUMBER	22		N	0	8122	C154	C3035860
TA_GG_GEO	ID_DOS	0,000685935	NUMBER	22		N	0	5380	C20B	C3053050
TA_GG_MEDIA	ID	0,25	NUMBER	22	38	N	0	4	C102	C105
TA_GG_MEDIA	ID_OBJET	0,5	NUMBER	22	38	Y	0	2	C20A33	C23F48
TA_GG_MEDIA	MEDIA	0,25	VARCHAR2	2000		Y	0	4	35393030395F38382E4A5047	68747470733A2F2F67656F6D656C2E6C696C6C656D6574726F706F6C652E6672
TA_GG_MEDIA	MINIATURE	0	BLOB	4000		Y	4	0		
TA_GG_MEDIA	TYPE	1	VARCHAR2	15		Y	0	1	4A5047	4A5047
TA_GG_POINT	ID_GEOM	0,000123198	NUMBER	22		N	0	8117	C154	C3035860
TA_GG_POINT	ID_DOS	0,000185874	NUMBER	22		N	0	5380	C20B	C3053050
TA_GG_POINT	CLASSE_DICT	0,333333333	VARCHAR2	1		Y	2845	3	61	63
TA_GG_POINT	GEOM		SDO_GEOMETRY	1		Y				
TA_GG_SOURCE	SRC_ID	0,04	NUMBER	22		N	0	25	C22C0A	C314453D
TA_GG_SOURCE	SRC_LIBEL	0,04	VARCHAR2	100		N	0	25	0961636F7570657A	7974757270696E
TA_GG_SOURCE	SRC_VAL	0,5	NUMBER	22		N	0	2	80	C102
TA_LIG_TOPO_F	OBJECTID	4,50187E-07	NUMBER	22	38	N	0	2221301	C102	C40360015D
TA_LIG_TOPO_F	CLA_INU	0,016129032	NUMBER	22	8	N	0	62	C2025F	C20E33
TA_LIG_TOPO_F	GEO_REF	5,48149E-06	VARCHAR2	13		Y	625889	182432	1B	7F7F
TA_LIG_TOPO_F	GEO_INSEE	0	CHAR	3		Y	2221301	0		
TA_LIG_TOPO_F	GEOM		SDO_GEOMETRY	1		Y				
TA_LIG_TOPO_F	GEO_DV	3,75573E-05	DATE	7		Y	0	26626	78720A150B0414	78780B17101515
TA_LIG_TOPO_F	GEO_DF	2,24095E-05	DATE	7		Y	0	44624	77C70C1F010101	78C70C1F010101
TA_LIG_TOPO_F	GEO_ON_VALIDE	0,5	NUMBER	22	1	Y	0	2	80	C102
TA_LIG_TOPO_F	GEO_TEXTE	0	VARCHAR2	2048		Y	2221301	0		
TA_LIG_TOPO_F	GEO_LIG_OFFSET_D	0,010416667	NUMBER	22	8	Y	2173810	96	3E6166	C2150D
TA_LIG_TOPO_F	GEO_LIG_OFFSET_G	0,006451613	NUMBER	22	8	Y	1952057	155	3E6066	C2150D
TA_LIG_TOPO_F	GEO_TYPE	1	CHAR	1		Y	1	1	4C	4C
TA_LIG_TOPO_F	GEO_NMN	0,032258065	VARCHAR2	20		Y	1769806	31	41434F5550455A	7974757270696E
TA_LIG_TOPO_F	GEO_DS	3,75573E-05	DATE	7		Y	0	26626	78720A150B0414	78780B17101515
TA_LIG_TOPO_F	GEO_NMS	0,037037037	VARCHAR2	20		Y	0	27	41706F74696572	7974757270696E
TA_LIG_TOPO_F	GEO_DM	1,51497E-05	DATE	7		Y	1769806	66008	78720A170A0831	78780B17101817
TA_LIG_TOPO_G	OBJECTID	2,59889E-06	NUMBER	22	38	N	0	384779	C102	C40A50080F
TA_LIG_TOPO_G	CLA_INU	0,04	NUMBER	22	8	N	0	25	C118	C20930
TA_LIG_TOPO_G	GEO_REF	2,82167E-06	VARCHAR2	13		Y	28234	354400	3031415F30303234	39315A4530343930
TA_LIG_TOPO_G	GEO_INSEE	0,010989011	CHAR	3		Y	10031	91	303039	363730
TA_LIG_TOPO_G	GEOM		SDO_GEOMETRY	1		Y				
TA_LIG_TOPO_G	GEO_DV	6,4612E-05	DATE	7		Y	2	15477	78720A18010101	78780B06111F34
TA_LIG_TOPO_G	GEO_DF	6,07312E-05	DATE	7		Y	0	16466	78720A1B0A2306	78C70C1F010101
TA_LIG_TOPO_G	GEO_ON_VALIDE	0,5	NUMBER	22	1	Y	2	2	80	C102
TA_LIG_TOPO_G	GEO_TEXTE	0	VARCHAR2	2048		Y	384779	0		
TA_LIG_TOPO_G	GEO_LIG_OFFSET_D	0	NUMBER	22	8	Y	384779	0		
TA_LIG_TOPO_G	GEO_LIG_OFFSET_G	0	NUMBER	22	8	Y	384779	0		
TA_LIG_TOPO_G	GEO_TYPE	1	CHAR	1		Y	28234	1	4C	4C
TA_LIG_TOPO_G	GEO_NMN	0,052631579	VARCHAR2	20		Y	17147	19	6,16266E+15	7964656C656261727265
TA_LIG_TOPO_G	GEO_DS	6,4612E-05	DATE	7		Y	0	15477	78720A180C0210	78780B06111F34
TA_LIG_TOPO_G	GEO_NMS	0,058823529	VARCHAR2	20		Y	0	17	41434F5550455A	7964656C656261727265
TA_LIG_TOPO_G	GEO_DM	8,364E-05	DATE	7		Y	17147	11956	78720A180F3433	78780B17111932
TA_LIG_TOPO_GPS	OBJECTID	1,76886E-06	NUMBER	22	8	N	0	565336	C4023F511B	C403601C5B
TA_LIG_TOPO_GPS	CLA_INU	0,020408163	NUMBER	22	8	N	0	49	C2025F	C20E33
TA_LIG_TOPO_GPS	GEO_REF	1,9699E-05	VARCHAR2	13		Y	12670	50764	1B57	58313031
TA_LIG_TOPO_GPS	GEO_INSEE	0	CHAR	3		Y	565336	0		
TA_LIG_TOPO_GPS	GEOM		SDO_GEOMETRY	1		Y				
TA_LIG_TOPO_GPS	GEO_DV	0,000103103	DATE	7		Y	0	9699	78720A16093B27	78780B17123722
TA_LIG_TOPO_GPS	GEO_DF	6,50618E-05	DATE	7		Y	0	15370	78720A17091615	78C70C1F010101
TA_LIG_TOPO_GPS	GEO_ON_VALIDE	0,5	NUMBER	22	1	Y	0	2	80	C102
TA_LIG_TOPO_GPS	GEO_TEXTE	0	VARCHAR2	2048		Y	565336	0		
TA_LIG_TOPO_GPS	GEO_LIG_OFFSET_D	0,01754386	NUMBER	22	8	Y	552865	57	80	C21505
TA_LIG_TOPO_GPS	GEO_LIG_OFFSET_G	0,009615385	NUMBER	22	8	Y	530391	104	80	C21505
TA_LIG_TOPO_GPS	GEO_TYPE	1	CHAR	1		Y	9136	1	4C	4C
TA_LIG_TOPO_GPS	GEO_NMN	0,043478261	VARCHAR2	20		Y	138	23	41706F74696572	7974757270696E
TA_LIG_TOPO_GPS	GEO_DS	0,000103103	DATE	7		Y	0	9699	78720A16093B27	78780B17123722
TA_LIG_TOPO_GPS	GEO_NMS	0,05	VARCHAR2	20		Y	0	20	53595354454D	7974757270696E
TA_LIG_TOPO_GPS	GEO_DM	6,23014E-05	DATE	7		Y	138	16051	78720A17091615	78780B17123725
TA_POINT_TOPO_F	OBJECTID	3,77247E-07	NUMBER	22	38	N	0	2650781	C102	C40416453C
TA_POINT_TOPO_F	CLA_INU	0,005263158	NUMBER	22	8	N	0	190	C11A	C20D5B
TA_POINT_TOPO_F	GEO_REF	1,50078E-05	VARCHAR2	13		Y	1872501	66632	2020202020203F	B4
TA_POINT_TOPO_F	GEO_INSEE	0	CHAR	3		Y	2650781	0		
TA_POINT_TOPO_F	GEOM		SDO_GEOMETRY	1		Y				
TA_POINT_TOPO_F	GEO_DV	4,66897E-05	DATE	7		Y	0	21418	78720A150C103A	78780B17101515
TA_POINT_TOPO_F	GEO_DF	2,3016E-05	DATE	7		Y	0	43448	78720A170A0B1E	78C70C1F010101
TA_POINT_TOPO_F	GEO_ON_VALIDE	0,5	NUMBER	22	1	Y	0	2	80	C102
TA_POINT_TOPO_F	GEO_TEXTE	0,000257865	VARCHAR2	2048		Y	2400525	3878	20	E0
TA_POINT_TOPO_F	GEO_POI_LN	0,000853242	NUMBER	22	8	Y	232	1172	3E1366	C30322
TA_POINT_TOPO_F	GEO_POI_LA	0,001385042	NUMBER	22	8	Y	235	722	3D641366	C22C45
TA_POINT_TOPO_F	GEO_POI_AG_ORIENTATION	2,88717E-05	NUMBER	22	5	Y	134	34636	3E2366	C20A64
TA_POINT_TOPO_F	GEO_POI_HA	0	NUMBER	22	8	Y	2650781	0		
TA_POINT_TOPO_F	GEO_POI_AG_INCLINAISON	0	NUMBER	22	5	Y	2650781	0		
TA_POINT_TOPO_F	GEO_TYPE	1	CHAR	1		Y	2521	1	50	50
TA_POINT_TOPO_F	GEO_NMN	0,035714286	VARCHAR2	20		Y	2147981	28	41706F74696572	7974757270696E
TA_POINT_TOPO_F	GEO_DS	4,66897E-05	DATE	7		Y	0	21418	78720A150C103A	78780B17101515
TA_POINT_TOPO_F	GEO_NMS	0,04	VARCHAR2	20		Y	0	25	41706F74696572	7974757270696E
TA_POINT_TOPO_F	GEO_DM	1,93334E-05	DATE	7		Y	2147981	51724	78720A15102130	78780B1710142E
TA_POINT_TOPO_G	OBJECTID	1,6742E-05	NUMBER	22	38	N	0	59730	C102	C307043E
TA_POINT_TOPO_G	CLA_INU	0,25	NUMBER	22	8	N	0	4	C116	C119
TA_POINT_TOPO_G	GEO_REF	0	VARCHAR2	13		Y	59730	0		
TA_POINT_TOPO_G	GEO_INSEE	0,013157895	CHAR	3		Y	439	76	313036	393820
TA_POINT_TOPO_G	GEOM		SDO_GEOMETRY	1		Y				
TA_POINT_TOPO_G	GEO_DV	0,004830918	DATE	7		Y	59291	207	78720B05110D34	7877011D0E291E
TA_POINT_TOPO_G	GEO_DF	0,000709723	DATE	7		Y	51320	1409	78720A1C082025	78C70C1F010101
TA_POINT_TOPO_G	GEO_ON_VALIDE	0,5	NUMBER	22	1	Y	0	2	80	C102
TA_POINT_TOPO_G	GEO_TEXTE	1	VARCHAR2	2048		Y	59729	1	526573746175726174696F6E20726170696465	526573746175726174696F6E20726170696465
TA_POINT_TOPO_G	GEO_POI_LN	0,090909091	NUMBER	22	8	Y	332	11	C10B	C207
TA_POINT_TOPO_G	GEO_POI_LA	0,090909091	NUMBER	22	8	Y	332	11	C10B	C207
TA_POINT_TOPO_G	GEO_POI_AG_ORIENTATION	0,001697793	NUMBER	22	5	Y	332	589	80	C2043C
TA_POINT_TOPO_G	GEO_POI_HA	0	NUMBER	22	8	Y	59730	0		
TA_POINT_TOPO_G	GEO_POI_AG_INCLINAISON	0	NUMBER	22	5	Y	59730	0		
TA_POINT_TOPO_G	GEO_TYPE	1	CHAR	1		Y	439	1	50	50
TA_POINT_TOPO_G	GEO_NMN	0,090909091	VARCHAR2	20		Y	49978	11	61636F7570657A	7961756265
TA_POINT_TOPO_G	GEO_DS	0,004830918	DATE	7		Y	59291	207	78720B05110D34	7877011D0E291E
TA_POINT_TOPO_G	GEO_NMS	0,2	VARCHAR2	20		Y	59291	5	61636F7570657A	706D617274696E
TA_POINT_TOPO_G	GEO_DM	0,000642261	DATE	7		Y	49978	1557	78720A1C082025	7,87809E+13
TA_POINT_TOPO_GPS	OBJECTID	1,50629E-06	NUMBER	22	8	N	0	663881	C40263192A	C404164A51
TA_POINT_TOPO_GPS	CLA_INU	0,005263158	NUMBER	22	8	N	0	190	C11A	C20D5B
TA_POINT_TOPO_GPS	GEO_REF	9,80777E-05	VARCHAR2	13		Y	201879	10196	20	65646D6C7973
TA_POINT_TOPO_GPS	GEO_INSEE	0	CHAR	3		Y	663881	0		
TA_POINT_TOPO_GPS	GEOM		SDO_GEOMETRY	1		N				
TA_POINT_TOPO_GPS	GEO_DV	0,000114653	DATE	7		Y	0	8722	78720A16093B2A	78780B17123721
TA_POINT_TOPO_GPS	GEO_DF	6,39959E-05	DATE	7		Y	0	15626	78720A160D3A26	78C70C1F010101
TA_POINT_TOPO_GPS	GEO_ON_VALIDE	0,5	NUMBER	22	1	Y	0	2	80	C102
TA_POINT_TOPO_GPS	GEO_TEXTE	0,000531915	VARCHAR2	2048		Y	616063	1880	2020202020	E0
TA_POINT_TOPO_GPS	GEO_POI_LN	0,001037344	NUMBER	22	8	Y	380	964	3E1366	C30322
TA_POINT_TOPO_GPS	GEO_POI_LA	0,001811594	NUMBER	22	8	Y	384	552	3D641366	C22C45
TA_POINT_TOPO_GPS	GEO_POI_AG_ORIENTATION	2,87621E-05	NUMBER	22	5	Y	313	34768	80	C20A64
TA_POINT_TOPO_GPS	GEO_POI_HA	0	NUMBER	22	8	Y	663881	0		
TA_POINT_TOPO_GPS	GEO_POI_AG_INCLINAISON	0	NUMBER	22	5	Y	663881	0		
TA_POINT_TOPO_GPS	GEO_TYPE	0,5	CHAR	1		Y	0	2	50	53
TA_POINT_TOPO_GPS	GEO_NMN	0,047619048	VARCHAR2	20		Y	18223	21	41706F74696572	7974757270696E
TA_POINT_TOPO_GPS	GEO_DS	0,000114653	DATE	7		Y	0	8722	78720A16093B2A	78780B17123721
TA_POINT_TOPO_GPS	GEO_NMS	0,047619048	VARCHAR2	20		Y	0	21	53595354454D	7974757270696E
TA_POINT_TOPO_GPS	GEO_DM	6,3857E-05	DATE	7		Y	18223	15660	78720A160D3A26	78780B17101930
TA_SUR_TOPO_G	OBJECTID	2,76311E-06	NUMBER	22	38	N	0	361911	C102	C32D1D22
TA_SUR_TOPO_G	CLA_INU	0,041666667	NUMBER	22	8	N	0	24	80	C20944
TA_SUR_TOPO_G	GEO_REF	3,55599E-06	VARCHAR2	13		Y	79567	281216	3030394C4130303031	616E6F6D616C69653031
TA_SUR_TOPO_G	GEO_INSEE	0,010869565	CHAR	3		Y	58306	92	303039	363730
TA_SUR_TOPO_G	GEOM		SDO_GEOMETRY	1		Y				
TA_SUR_TOPO_G	GEO_DV	1,87028E-05	DATE	7		Y	2	53468	78720A18010101	78780B1710103A
TA_SUR_TOPO_G	GEO_DF	4,47147E-05	DATE	7		Y	0	22364	77C70C1F010101	78C70C1F010101
TA_SUR_TOPO_G	GEO_ON_VALIDE	0,5	NUMBER	22	1	Y	0	2	80	C102
TA_SUR_TOPO_G	GEO_TEXTE	0	VARCHAR2	2048		Y	361911	0		
TA_SUR_TOPO_G	GEO_TYPE	1	CHAR	1		Y	79652	1	53	53
TA_SUR_TOPO_G	GEO_NMN	0,043478261	VARCHAR2	20		Y	105525	23	41434F5550455A	7964656C656261727265
TA_SUR_TOPO_G	GEO_DS	1,87056E-05	DATE	7		Y	0	53460	78720A180B130C	78780B1710103A
TA_SUR_TOPO_G	GEO_NMS	0,052631579	VARCHAR2	20		Y	0	19	41434F5550455A	7964656C656261727265
TA_SUR_TOPO_G	GEO_DM	1,44159E-05	DATE	7		Y	105525	69368	78720A18101234	78780B17133531
